Month of Observation,Median Home Price (NSA)
1966-07-15,20747.150000000001
1966-08-15,20684.150000000001
1966-09-15,20684.150000000001
1966-10-15,20768.139999999999
1966-11-15,20768.139999999999
1966-12-15,20852.139999999999
1967-01-15,20852.139999999999
1967-02-15,20852.139999999999
1967-03-15,20705.150000000001
1967-04-15,20789.139999999999
1967-05-15,20915.139999999999
1967-06-15,20957.139999999999
1967-07-15,20957.139999999999
1967-08-15,21083.130000000001
1967-09-15,21083.130000000001
1967-10-15,21167.130000000001
1967-11-15,21230.130000000001
1967-12-15,21335.119999999999
1968-01-15,21314.119999999999
1968-02-15,21419.119999999999
1968-03-15,21377.119999999999
1968-04-15,21377.119999999999
1968-05-15,21314.119999999999
1968-06-15,21482.110000000001
1968-07-15,21566.110000000001
1968-08-15,21629.110000000001
1968-09-15,21629.110000000001
1968-10-15,21776.099999999999
1968-11-15,22028.09
1968-12-15,22217.080000000002
1969-01-15,22322.080000000002
1969-02-15,22427.080000000002
1969-03-15,22616.07
1969-04-15,22637.07
1969-05-15,22742.060000000001
1969-06-15,22805.060000000001
1969-07-15,23015.049999999999
1969-08-15,23162.049999999999
1969-09-15,23330.040000000001
1969-10-15,23519.029999999999
1969-11-15,23624.029999999999
1969-12-15,23771.02
1970-01-15,24002.009999999998
1970-02-15,24170
1970-03-15,24296
1970-04-15,24400.990000000002
1970-05-15,24589.990000000002
1970-06-15,24757.98
1970-07-15,24820.98
1970-08-15,25051.970000000001
1970-09-15,25303.959999999999
1970-10-15,25429.950000000001
1970-11-15,25576.950000000001
1970-12-15,25723.939999999999
1971-01-15,25786.939999999999
1971-02-15,25723.939999999999
1971-03-15,25723.939999999999
1971-04-15,25807.939999999999
1971-05-15,25996.93
1971-06-15,26269.919999999998
1971-07-15,26311.919999999998
1971-08-15,26395.91
1971-09-15,26458.91
1971-10-15,26542.91
1971-11-15,26752.900000000001
1971-12-15,26815.900000000001
1972-01-15,26899.889999999999
1972-02-15,26962.889999999999
1972-03-15,26941.889999999999
1972-04-15,26983.889999999999
1972-05-15,27067.880000000001
1972-06-15,27235.880000000001
1972-07-15,27508.869999999999
1972-08-15,27613.860000000001
1972-09-15,27592.860000000001
1972-10-15,27571.860000000001
1972-11-15,27592.860000000001
1972-12-15,27613.860000000001
1973-01-15,27550.860000000001
1973-02-15,27550.860000000001
1973-03-15,27571.860000000001
1973-04-15,27571.860000000001
1973-05-15,27634.860000000001
1973-06-15,27697.860000000001
1973-07-15,27676.860000000001
1973-08-15,27928.849999999999
1973-09-15,28033.84
1973-10-15,28243.84
1973-11-15,28369.830000000002
1973-12-15,28558.82
1974-01-15,28789.810000000001
1974-02-15,29020.799999999999
1974-03-15,29335.790000000001
1974-04-15,29440.790000000001
1974-05-15,29587.779999999999
1974-06-15,29755.77
1974-07-15,29902.77
1974-08-15,30175.759999999998
1974-09-15,30469.740000000002
1974-10-15,30721.73
1974-11-15,30952.720000000001
